Date,A,B,C,D
2019-08-29,0.2638509739542379,0.25654093651588217,0.19233673976956864,0.15099365067245266
2019-08-30,0.2588819651624324,0.2517095949828146,0.1887145323674919,0.1481500425308797
2019-09-03,0.2540917318923159,0.2470520759643009,0.18522264512484818,0.14540874202253676
2019-09-04,0.2494827718354575,0.24257080795292785,0.18186289875825692,0.14277117849810095
2019-09-05,0.2450425506164752,0.23825360384037844,0.1786261562125848,0.14023017892701842
2019-09-06,0.24071277575206487,0.23404378614680643,0.1754699246138288,0.13775238434635287
2019-09-09,0.2365464337966031,0.2299928734248206,0.17243282902737223,0.13536811730205503
2019-09-10,0.23244304038748212,0.22600316524867578,0.1694416203974615,0.1330198737397784
2019-09-11,0.22839200267422585,0.22206436224467335,0.1664885769624715,0.13070159170287965
2019-09-12,0.2244896686633097,0.21827014308089707,0.16364393254102738,0.12846840813860863
2019-09-13,0.22078888191149115,0.21467188727411063,0.16094620795900388,0.12635056375985623
2019-09-16,0.21716451531473283,0.2111479343886059,0.15830419059403814,0.12427645224297112
2019-09-17,0.2136734316474213,0.2077535718056475,0.15575933111987925,0.12227861437324332
2019-09-18,0.21026773444807606,0.2044422300436077,0.15327671494398437,0.12032964050550511
2019-09-19,0.20702223341979836,0.20128664618966283,0.15091087532875527,0.11847234189039428
2019-09-20,0.2039081157806679,0.19825880572506133,0.14864080891591291,0.11669022987500584
2019-09-23,0.20084645532084766,0.1952819691044311,0.14640898167533825,0.11493813746079351
2019-09-24,0.19782283456713687,0.19234211829319114,0.14420488384938443,0.11320781397928548
2019-09-25,0.19487045173646783,0.18947153174586,0.14205271560193644,0.111518257730527
2019-09-26,0.1919936213570264,0.1866744044558647,0.13995562205037812,0.10987193778390207
2019-09-27,0.18918521567996766,0.18394380614989014,0.1379084073526999,0.10826477515193131
2019-09-30,0.18640979256033832,0.18124527661381565,0.13588523561180962,0.10667648740482509
2019-10-01,0.18366472947575316,0.17857626598269782,0.13388419511444735,0.10510557375513893
2019-10-02,0.18103014550929492,0.17601467362639237,0.13196368944731404,0.10359788384542636
2019-10-03,0.1784927684368342,0.1735475950300636,0.13011404369323853,0.10214582239739897
2019-10-04,0.1759872778022062,0.1711115194522235,0.12828764186888475,0.10071200855931271
2019-10-07,0.1735381676609907,0.16873026233635272,0.12650233915486228,0.0993104595122162
2019-10-08,0.17114853885432085,0.16640683861423777,0.12476039593954547,0.09794294977039612
2019-10-09,0.1688290141877978,0.16415157678479034,0.12306955582063986,0.09661555843287592
2019-10-10,0.16655210112538843,0.16193774599750263,0.12140977784597709,0.09531255238213225
2019-10-11,0.16432288137317425,0.15977028716889918,0.11978476637474726,0.09403683971943676
2019-10-14,0.16214829153916618,0.15765594472705133,0.1181995779149855,0.09279239004835452
2019-10-15,0.1600801999872513,0.15564515001374146,0.11669202241621637,0.09160888600943197
2019-10-16,0.1580705086262991,0.15369113750387683,0.11522703830599797,0.0904588025711662
2019-10-17,0.15610764465447208,0.15178265502212132,0.11379618947760656,0.08933551698143403
2019-10-18,0.10091835018179608,0.1309300164123302,0.04431667746953872,0.1229117896515625
2019-10-21,0.10197312413937236,0.13229846497820533,0.04477986456283713,0.1241964336689292
2019-10-22,0.10307669691988972,0.13373022443528176,0.04526448087781105,0.12554051138343594
2019-10-23,0.10419894132513446,0.13518620818979862,0.04575729653779393,0.12690732988598383
2019-10-24,0.1053451060990531,0.13667322588668002,0.04626061644464138,0.12830328179506817
2019-10-25,0.10650597278245044,0.13817931762951904,0.046770392459613654,0.12971713964496567
2019-10-28,0.1076934575608518,0.13971994330607243,0.04729185738476948,0.13116341655133973
2019-10-29,0.10889463879510733,0.14127833856750852,0.04781933688919133,0.1326263748233711
2019-10-30,0.11012360523051686,0.14287278194939607,0.04835901781977354,0.1341231736089812
2019-10-31,0.11137661302048772,0.14449841623899878,0.048909256126235416,0.1356492531538334
2019-11-01,0.11267283097463081,0.14618011077427592,0.04947846948436606,0.13722795978384875
2019-11-04,0.114002571775797,0.14790529736925295,0.050062403863963136,0.1388474949957266
2019-11-05,0.11536873722206634,0.1496777407750338,0.050662333543186805,0.14051139298512696
2019-11-06,0.11678109988302736,0.1515101197828819,0.05128254998948301,0.14223155608711033
2019-11-07,0.11823729129911875,0.15339936158741876,0.0519220131317617,0.14400509967660235
2019-11-08,0.11972665496462329,0.15533164059135765,0.052576043336180565,0.14581904484355568
2019-11-11,0.12126683383272295,0.15732984650846737,0.05325238822311159,0.14769487952298346
2019-11-12,0.12282363824987708,0.15934962217386012,0.05393603395368376,0.14959096300735641
2019-11-13,0.12442700441553539,0.1614298063822469,0.05464012653051493,0.15154375558207467
2019-11-14,0.12606811093243175,0.1635589543796582,0.05536079217825333,0.153542513376244
2019-11-15,0.12775149709463876,0.1657429553809529,0.056100024255202885,0.15559276494594176
2019-11-18,0.12947026885831467,0.1679728651527808,0.056854795352405334,0.15768611380762465
2019-11-19,0.13122565527927033,0.17025027825447817,0.05762564519003905,0.15982405686893156
2019-11-20,0.13302660531963978,0.17258680494083986,0.05841650356152482,0.1620174933662198
2019-11-21,0.1348715908691037,0.17498046266351036,0.059226699421685645,0.16426456216349375
2019-11-22,0.13676400299963185,0.1774356509505028,0.06005772190547559,0.16656939335923301
2019-11-25,0.13872153753501473,0.1799753281091531,0.06091734185054773,0.16895353928130982
2019-11-26,0.1407314712558988,0.18258298721762037,0.06179997205886079,0.17140150390092415
2019-11-27,0.142798217615964,0.18526435422724744,0.06270755062792538,0.17391866250898558
2019-11-29,0.1449264743618791,0.18802552392701308,0.0636421404979657,0.17651073664621836
2019-12-02,0.14711210908651412,0.19086113499132715,0.0646019269885632,0.17917269331758245
2019-12-03,0.14933976048659997,0.19375125788620978,0.06558016442936886,0.18188582348480303
2019-12-04,0.15165000503916135,0.19674853594950018,0.06659467133051407,0.1846995465785374
2019-12-05,0.15404520992015727,0.1998560403212498,0.06764648719941546,0.18761674566051834
2019-12-06,0.15653344741002617,0.20308424386202742,0.06873915684876558,0.19064725222752985
2019-12-09,0.15908001802565702,0.20638812796139164,0.06985744255620151,0.19374880463378122
2019-12-10,0.16172246680628885,0.20981640301338783,0.07101783162449367,0.19696713022179338
2019-12-11,0.1644559740291003,0.2133628159789308,0.07221820754954364,0.20029635889205988
2019-12-12,0.1673461611008586,0.21711250312758454,0.07348738692133293,0.20381641312181778
2019-12-13,0.17037671015273304,0.2210442938909641,0.07481820400906372,0.20750741884002186
2019-12-16,0.17350831132481628,0.22510718822206557,0.07619339651722937,0.2113214992708087
2019-12-17,0.17675934363680174,0.22932503079676564,0.07762103529802364,0.21528103882889066
2019-12-18,0.1800906206288095,0.23364698166548165,0.07908391224508587,0.21933831103137075
2019-12-19,0.18351720426666046,0.23809258200609218,0.08058864157951798,0.22351166034356545
2019-12-20,0.18706814811474604,0.2426995254952751,0.08214798170888561,0.2278364720605046
2019-12-23,0.19078720629553197,0.2475245781023732,0.08378114655543173,0.23236603577211137
2019-12-24,0.19467033187247135,0.25256248939010173,0.08548635897177562,0.23709542258078978
2019-12-26,0.1987204874119918,0.2578171029495449,0.08726491992152417,0.24202824069397613
2019-12-27,0.20293827405307027,0.26328919868976763,0.08911709338523306,0.247165222258672
2019-12-30,0.20739986754335224,0.26907760593042757,0.09107633072267306,0.2525991442322323
2019-12-31,0.21207175453475194,0.27513884493560953,0.09312791508368395,0.2582891896018639
2020-01-02,0.216954809935429,0.28147405079857946,0.0952722306701741,0.2642364239470922
2020-01-03,0.22205105145878057,0.2880858412716859,0.09751016352867202,0.2704433047076611
2020-01-06,0.2273541268844086,0.2949659750755236,0.09983892418330852,0.2769020953046831
2020-01-07,0.23290450884836908,0.302166960826152,0.10227628554411632,0.2836620886974724
2020-01-08,0.2387426823605246,0.30974132319322967,0.10484002595488723,0.29077259291581053
2020-01-09,0.24489883712132882,0.31772822986002464,0.10754340273914562,0.2982703769923374
2020-01-10,0.2513851538384665,0.32614348390153985,0.11039176485962068,0.3061702762129852
2020-01-13,0.2582266224972792,0.3350195069654243,0.1133960862682088,0.3145027267057344
2020-01-14,0.2654549573819881,0.34439744470800415,0.11657029378498251,0.32330635434411664
2020-01-15,0.2730249734290354,0.3542186746775394,0.11989454511283214,0.3325261267478224
2020-01-16,0.28108921714287116,0.3646811085154244,0.12343582860644874,0.34234783533965296
2020-01-17,0.28970377499488464,0.3758575120031673,0.1272187737416262,0.35283978968433355
2020-01-21,0.29881402791987105,0.3876770231509438,0.13121939543049893,0.3639354674195652
2020-01-22,0.30853860539420913,0.4002935501356243,0.13548978790799626,0.37577935130017753
2020-01-23,0.3189755209689376,0.4138342543289812,0.1400729922555588,0.38849081526506846
2020-01-24,0.3301586347973522,0.4283430654070223,0.1449838776173013,0.40211109871254314
2020-01-27,0.3420387527548243,0.4437561596198211,0.15020084118114221,0.41658028649448886
